UWI,lifetime_start,lifetime_end,FAILSTART,FAILURETYPE,H2S_CONCENTRATION,StrokeLength,gas_anchor_length,MAX_INCLINATION,wellbore_category,AVG_PRESS_FLOWLINE,AVG_PRESSURE_TUBING,AVG_PRESSURE_CASING,AVG_DIFFERENTIAL_PRESSURE,AVG_OIL_VOLUME,AVG_WATER_VOLUME,AVG_LIQUID_VOLUME,AVG_WATERSG,rod_sinker_type,rod_has_guides,overall_max_sideload,shallow_max_sideload,max_unguided_sideload,ENDURALLOY_LENGTH,NIPPLE_SET_DEPTH,pump_bore
175-58-0111,00:00.0,00:00.0,00:00.0,Tubing,0,144,19.27,2.43,Vertical,60.052639,74.293221,52.782752,-21.495727,50.707833,58.618097,109.325929,1.04,SINKER_BARS_W_GUIDED_SUBS,FALSE,,,,0,10024.8,1.5
333-68-3523,00:00.0,00:00.0,00:00.0,Tubing,0,168,17.21,2.3,Vertical,53.560841,76.704153,88.331949,11.836617,91.19827,17.359578,108.557848,,SINKER_BARS_W_GUIDED_SUBS,FALSE,179.44,179.44,179.44,0,10235.6,1.5
165-51-5897,00:00.0,00:00.0,00:00.0,Sucker Rod Pump,0,144,20.75,2.1,Vertical,,73.51731,55.554503,-17.962807,46.18824,10.288743,56.506804,,SLICK_SINKER_BARS,FALSE,105.76,105.76,105.76,0,10401.9,1.5
543-56-3494,00:00.0,30:00.0,00:00.0,Sucker Rod Pump,0,144.1999969,17.25,1.47,Vertical,,71.955446,101.809406,29.85396,84.829167,28.054167,112.883333,1.04,SINKER_BARS_W_GUIDED_SUBS,FALSE,98.18,47.96,98.18,0,9557.7,1.75
391-37-2039,00:00.0,37:11.3,,,0,168,17.12,4.23,LowTangent,61.249198,75.968526,123.340802,34.455577,77.153727,15.855122,93.008849,1.04,SUCKER_RODS_W_GUIDES,TRUE,266.68,266.68,170.99,129.39,9681.7,1.75
112-36-5012,00:00.0,00:00.0,,,0,144,20.75,2.1,Vertical,,35.659965,216.128258,180.468293,66.36223,8.701916,75.064146,,SLICK_SINKER_BARS,TRUE,,,,0,10057.4,1.25
549-66-2141,00:00.0,00:00.0,00:00.0,Tubing,0,168,17.21,1.3,Vertical,,96.76824,130.60515,33.83691,120.214592,40.819742,161.034335,1.2,SLICK_SINKER_BARS,FALSE,84.96,84.96,84.96,0,10158.4,1.75
898-48-7277,00:00.0,00:00.0,00:00.0,Tubing,0,144,37.21,1.63,Vertical,,28.60766,153.326968,124.719309,22.812553,21.48484,44.297394,,SLICK_SINKER_BARS,FALSE,47.12,44.76,47.12,0,9714.3,1.5
755-57-3548,00:00.0,37:11.3,,,0,144,20.72,10.1,HighTangent,56.484659,134.979133,160.232197,25.551073,125.133663,43.045891,168.179554,1.04,SLICK_SINKER_BARS,FALSE,266.45,266.45,266.45,190.46,10318.7,1.5
638-01-9762,00:00.0,00:00.0,00:00.0,Sucker Rod Pump,0,144,19.28,1.4,Vertical,,55.050613,71.300728,16.250115,51.38126,10.37433,62.029685,,SLICK_SINKER_BARS,FALSE,71.31,71.31,71.31,0,10079.8,1.5
362-99-6974,00:00.0,00:00.0,00:00.0,Sucker Rod Pump,0,144,40.48,2.2,Vertical,,0,55.689655,0,162.63569,3.630084,166.241831,,SLICK_SINKER_BARS,FALSE,,,,0,9092.7,1.75
629-30-1499,00:00.0,00:00.0,00:00.0,Sucker Rod Pump,0,144,39.87,1.62,Vertical,,77.166065,90.974729,13.808664,65.245309,66.094477,131.818909,,SLICK_SINKER_BARS,FALSE,178.46,125.76,178.46,0,10490.8,1.75
333-68-3523,00:00.0,00:00.0,00:00.0,Rods,0,168,20.62,2.3,Vertical,45.168991,62.37439,65.847778,3.473388,47.592527,10.126263,57.71879,1.04,SINKER_BARS_W_GUIDED_SUBS,FALSE,179.24,179.24,179.24,261.11,10192.9,1.75
827-97-0623,00:00.0,00:00.0,,,0,144,19.23,2,Vertical,60.093168,65.1811,5.0669,-58.270297,60.088317,18.181782,78.270099,,SINKER_BARS_W_GUIDED_SUBS,TRUE,171.76,171.76,171.76,0,10017.4,1.75
769-33-6236,00:00.0,00:00.0,,,0,144,20.74,2.81,Vertical,,149.850938,482.808984,332.958047,108.78625,10.954567,120.597402,,SLICK_SINKER_BARS,FALSE,134.26,134.26,134.26,0,9704,1.5
336-88-0341,00:00.0,00:00.0,00:00.0,Tubing,0,144.039724,19.24,1.99,Vertical,59.055635,61.812323,77.44754,15.268907,112.768489,51.334405,164.102894,1.04,SINKER_BARS_W_GUIDED_SUBS,TRUE,169.04,169.04,169.04,0,10058.3,1.75
554-80-2600,00:00.0,37:00.0,00:00.0,Tubing,0,144,17.12,4.47,LowTangent,56.548036,95.064411,83.777164,-10.811587,33.523316,21.650132,55.173447,1.04,SINKER_BARS_W_GUIDED_SUBS,TRUE,,,,64.71,10159.5,1.25
763-86-7289,00:00.0,37:11.3,,,0,144.0369791,17.18,1.58,Vertical,59.075816,69.789212,102.519762,32.730551,49.667105,11.202602,60.869706,1.2,SLICK_SINKER_BARS,FALSE,71.82,71.82,71.82,128.87,9589.6,1.5
783-54-0077,00:00.0,00:00.0,00:00.0,Sucker Rod Pump,3,144,17.1,1.08,Vertical,59.57736,71.475323,109.958678,40.129943,70.081587,18.361377,88.442964,1.04,SINKER_BARS_W_GUIDED_SUBS,FALSE,33.48,28.09,33.48,193.65,9968.6,1.75
859-78-1684,00:00.0,31:00.0,00:00.0,Sucker Rod Pump,0,146.3924119,17.13,13.39,HighTangent,88.971704,117.511409,157.24657,39.735161,118.076739,30.225012,148.301751,1.04,UNKNOWN,TRUE,,,,0,8799.5,1.75
455-59-1219,00:00.0,30:00.0,00:00.0,Tubing,0,144,17.23,2.96,Vertical,53.873273,85.526504,138.895517,73.467586,88.544828,58.803448,147.348276,1.04,SLICK_SINKER_BARS,FALSE,180.56,180.56,180.56,0,9722.9,1.75
273-75-6051,00:00.0,45:00.0,08:00.0,Tubing,0,169.3999939,20.72,5.89,LowTangent,55.687035,90.647306,145.003732,66.150548,72.864553,49.835735,122.700288,1.04,SINKER_BARS_W_GUIDED_SUBS,TRUE,195.92,195.92,195.92,0,10053.2,1.75
638-01-9762,00:00.0,30:00.0,00:00.0,Sucker Rod Pump,0,144,19.31,1.4,Vertical,39.852222,69.202781,68.435459,-0.767322,36.360628,11.126996,47.5025,1.2,SINKER_BARS_W_GUIDED_SUBS,TRUE,71.9,71.9,71.9,0,10082.2,1.5
642-04-9474,00:00.0,37:11.3,,,325,144,17.17,1.96,Vertical,53.84661,135.619085,259.438885,125.608485,145.250572,77.859192,223.109764,1.04,SINKER_BARS_W_GUIDED_SUBS,TRUE,70.41,65.66,70.41,0,9629.3,1.75
437-65-5756,00:00.0,00:00.0,00:00.0,Sucker Rod Pump,0,144,20.72,3.24,Vertical,57.106383,67.925469,81.578257,16.47256,26.39594,20.768402,47.164341,1.04,SLICK_SINKER_BARS,TRUE,215.53,215.53,96.04,0,9729.5,1.75
588-71-7614,59:00.0,37:11.3,,,0,144.0399933,17.51,5.59,LowTangent,71.775551,78.327545,94.052545,15.674775,66.00507,25.063291,91.068361,1.050735,SLICK_SINKER_BARS,FALSE,262.7,262.7,262.7,0,9977.2,1.5
289-93-3304,01:00.0,00:00.0,18:00.0,Tubing,0,168.0198311,17.11,3.64,Vertical,49.382966,60.860042,63.677185,-4.283237,83.39834,70.012448,153.410788,1.04,SLICK_SINKER_BARS,FALSE,206.76,206.76,206.76,128.21,9116.6,1.75
807-26-3648,00:00.0,00:00.0,00:00.0,Tubing,0,144,20.78,10.81,HighTangent,10.665714,117.23825,270.382469,153.144219,154.884375,143.80625,298.690625,1.04,SLICK_SINKER_BARS,FALSE,257.83,257.83,257.83,0,10322.7,1.5
853-24-9157,22:00.0,30:00.0,00:00.0,Tubing,0,144,17.14,3.03,Vertical,,,,,50.286765,41.595588,91.882353,1.04,SUCKER_RODS_W_GUIDES,FALSE,,,,0,10424.1,1.75
872-04-6865,00:00.0,30:00.0,00:00.0,Tubing,0,144,19.26,2.26,Vertical,35.045316,76.219886,68.327462,-7.892424,36.227036,19.393414,55.620451,1.04,SLICK_SINKER_BARS,FALSE,88.15,25.1,88.15,0,10026.9,1.75
835-67-5215,00:00.0,30:00.0,00:00.0,Tubing,0,116.852459,19.25,1.64,Vertical,,67.625175,155.8119,88.186725,61.483515,14.614869,76.098384,1.04,SINKER_BARS_W_GUIDED_SUBS,TRUE,,,,0,9681.4,1.5
582-07-6485,00:00.0,00:00.0,31:00.0,Tubing,0,144,20.13,2.3,Vertical,,37.642228,32.39901,-5.243218,125.375,33.651139,159.026139,,SLICK_SINKER_BARS,TRUE,,,,0,10595.9,1.5
542-76-0741,00:00.0,00:00.0,00:00.0,Sucker Rod Pump,0,144,20.9,1.6,Vertical,,0,0,0,68.719949,7.983704,76.480278,,SLICK_SINKER_BARS,FALSE,0,0,0,0,8930.9,1.75
471-75-6445,00:00.0,30:00.0,00:00.0,Tubing,0,144,17.23,5.2,LowTangent,,84.84472,272.732919,187.888199,178.627329,32.763975,211.391304,1.04,SLICK_SINKER_BARS,TRUE,233.46,155.1,233.46,0,9543.6,1.75
588-71-7614,00:00.0,00:00.0,00:00.0,Tubing,0,144.0396195,19.27,5.59,LowTangent,44.549624,36.731399,92.733591,-12.378416,1.341014,4.889401,6.230415,1.04,SLICK_SINKER_BARS,FALSE,295.91,295.91,295.91,0,10082.2,1.75
